State,Year,Month,Temperature
MT,2015,2,26.9
MT,2015,3,39.5
MT,2015,4,42.8
MT,2015,5,49.6
MT,2015,6,63.8
MT,2015,7,66.2
MT,2015,8,65.9
MT,2015,9,57.3
MT,2015,10,48
MT,2015,11,30
MT,2015,12,23.6
MT,2016,1,23.4
MT,2016,2,33.6
MT,2016,3,37.4
MT,2016,4,45
MT,2016,5,51
MT,2016,6,62.4
MT,2016,7,65.9
MT,2016,8,64.4
MT,2016,9,54.8
MT,2016,10,44.3
MT,2016,11,39.1
MT,2016,12,14.2
MT,2017,1,15.2
MT,2017,2,25.4
MT,2017,3,35.8
MT,2017,4,42.1
MT,2017,5,52.3
MT,2017,6,60.6
MT,2017,7,71.6
MT,2017,8,65.5
MT,2017,9,55.2
MT,2017,10,42.6
MT,2017,11,30.7
MT,2017,12,21.1
MT,2018,1,21.7
MT,2018,2,11.4
MT,2018,3,28.3
MT,2018,4,37.9
MT,2018,5,55.7
MT,2018,6,59.2
MT,2018,7,66.8
MT,2018,8,64.5
MT,2018,9,53
MT,2018,10,41.6
MT,2018,11,30.2
MT,2018,12,25
MT,2019,1,24.7
MT,2019,2,5.1
MT,2019,3,25.2
MT,2019,4,41.9
MT,2019,5,47.7
MT,2019,6,58.6
MT,2019,7,65
MT,2019,8,64.8
MT,2019,9,55
MT,2019,10,35.4
MT,2019,11,29.3
MT,2019,12,25.8
MT,2020,1,23.4
MT,2020,2,25.6
MT,2020,3,31.6
MT,2020,4,38.3
MT,2020,5,50.6
MT,2020,6,59.3
MT,2020,7,65.6
MT,2020,8,67.4
MT,2020,9,57
MT,2020,10,39.3
MT,2020,11,32.8
MT,2020,12,28.5
MT,2021,1,26.7
MT,2021,2,13.7
MT,2021,3,36.1
MT,2021,4,40.5
MT,2021,5,48.6
MT,2021,6,65.3
MT,2021,7,72.5
MT,2021,8,64.7
MT,2021,9,58.3
MT,2021,10,45.6
MT,2021,11,36.3
MT,2021,12,19.3
MT,2022,1,22.9
MT,2022,2,22.6
MT,2022,3,33.5
MT,2022,4,35.2
MT,2022,5,48.5
MT,2022,6,58.5
MT,2022,7,69
MT,2022,8,69.7
MT,2022,9,60.6
MT,2022,10,47.1
MT,2022,11,22.7
MT,2022,12,14.6
MT,2023,1,22.9
MT,2023,2,23.3
MT,2023,3,23.3
MT,2023,4,39.2
MT,2023,5,56.3
MT,2023,6,60.4
MT,2023,7,67.4
MT,2023,8,66.8
MT,2023,9,58.5
MT,2023,10,42.3
MT,2023,11,34.5
MT,2023,12,31.3
MT,2024,1,17.8
MT,2024,2,28.1
MT,2024,3,30.8
MT,2024,4,43.5
MT,2024,5,48.8
MT,2024,6,58.9
MT,2024,7,69.4
MT,2024,8,65.8
MT,2024,9,61.1
MT,2024,10,48.4
MT,2024,11,30.6
MT,2024,12,28.8
MT,2025,1,19.2
MT,2025,2,13.3
MT,2025,3,37.3
MT,2025,4,42.1
MT,2025,5,53.5
MT,2025,6,60.2
MT,2025,7,66.9
MT,2025,8,66.2
MT,2025,9,61.1
MT,2025,10,44.4
MT,2025,11,35.8
MT,2025,12,27.7
NC,1991,1,41.6
NC,1991,2,45.4
NC,1991,3,52.2
NC,1991,4,60.6
NC,1991,5,70.5
NC,1991,6,74
NC,1991,7,79
NC,1991,8,75.6
NC,1991,9,69.9
NC,1991,10,59.8
NC,1991,11,48.4
NC,1991,12,45.6
NC,1992,1,41.9
NC,1992,2,45.8
NC,1992,3,48.8
NC,1992,4,57.3
NC,1992,5,62.1
NC,1992,6,70.5
NC,1992,7,78.7
NC,1992,8,73.4
NC,1992,9,70.3
NC,1992,10,56.8
NC,1992,11,51
NC,1992,12,41.9
NC,1993,1,43.6
NC,1993,2,40
NC,1993,3,46.5
NC,1993,4,55.4
NC,1993,5,67.1
NC,1993,6,74.4
NC,1993,7,80.7
NC,1993,8,76.3
NC,1993,9,71.7
NC,1993,10,58.9
NC,1993,11,50.2
NC,1993,12,39.8
NC,1994,1,36.3
NC,1994,2,43.2
